order_id,restaurant_name,city,order_time,delivery_time,order_value,rating,distance_km,traffic_level,payment_mode,customer_type,prep_time_min,expected_time_min,delivery_duration_min,delivery_status
29,Urban Food,Delhi,2024-04-12 22:35:00,2024-04-12 23:20:00,197,3.6,2.0,High,Wallet,Premium,25,33,45,Late
30,Tasty Bites,Mumbai,2024-04-12 18:03:00,2024-04-12 18:39:00,125,3.8,1.5,High,Cash,Premium,20,26,36,Late
31,Quick Eats,Bangalore,2024-04-09 11:54:00,2024-04-09 12:31:00,134,3.7,5.3,Low,UPI,New,12,33,37,Late
32,Royal Kitchen,Mumbai,2024-04-15 19:15:00,2024-04-15 20:25:00,141,3.8,10.1,High,Wallet,New,11,51,70,Late
33,Urban Food,Hyderabad,2024-04-04 20:45:00,2024-04-04 21:25:00,302,4.2,4.1,Medium,Card,Returning,17,33,40,Late
34,Food Palace,Delhi,2024-04-15 22:59:00,2024-04-15 23:22:00,418,4.6,2.6,Low,Wallet,Returning,10,20,23,Late
35,Quick Eats,Pune,2024-04-04 18:16:00,2024-04-04 18:44:00,550,5.0,1.8,Low,Cash,Premium,21,28,28,On-time
36,Food Palace,Delhi,2024-04-08 23:34:00,2024-04-09 00:50:00,513,3.6,9.5,High,Card,New,19,57,76,Late
37,Royal Kitchen,Hyderabad,2024-04-14 18:19:00,2024-04-14 18:48:00,235,4.7,1.1,High,Cash,Premium,13,17,29,Late
38,Spice Hub,Pune,2024-04-05 19:13:00,2024-04-05 20:21:00,451,4.5,8.8,High,UPI,Returning,20,55,68,Late
39,Royal Kitchen,Delhi,2024-04-15 23:03:00,2024-04-16 00:06:00,122,3.3,9.5,Low,Wallet,Returning,23,61,63,Late
40,Spice Hub,Delhi,2024-04-05 12:47:00,2024-04-05 13:38:00,104,3.4,4.9,Medium,UPI,Premium,23,42,51,Late
41,Spice Hub,Pune,2024-04-01 23:23:00,2024-04-02 00:35:00,165,4.3,10.5,High,UPI,Premium,14,56,72,Late
42,Spice Hub,Delhi,2024-04-15 15:13:00,2024-04-15 16:08:00,152,3.3,4.6,High,Card,New,17,35,55,Late
43,Tasty Bites,Hyderabad,2024-04-12 12:59:00,2024-04-12 13:32:00,551,3.8,4.4,Low,Wallet,Premium,15,32,33,Late
44,Urban Food,Pune,2024-04-15 15:50:00,2024-04-15 16:50:00,181,4.3,9.0,Medium,UPI,Premium,17,53,60,Late
45,Royal Kitchen,Pune,2024-04-14 17:14:00,2024-04-14 18:23:00,256,4.0,10.8,Low,Wallet,New,24,67,69,Late
46,Food Palace,Mumbai,2024-04-04 16:21:00,2024-04-04 16:49:00,279,4.5,2.3,Medium,Cash,Premium,12,21,28,Late
47,Royal Kitchen,Hyderabad,2024-04-14 18:21:00,2024-04-14 19:13:00,191,4.2,9.4,Low,Wallet,Premium,13,50,52,Late
48,Quick Eats,Delhi,2024-04-10 16:22:00,2024-04-10 17:36:00,410,4.1,9.5,High,Cash,New,20,58,74,Late
49,Quick Eats,Pune,2024-04-04 14:02:00,2024-04-04 15:02:00,366,4.0,6.8,High,Wallet,Premium,23,50,60,Late
50,Quick Eats,Mumbai,2024-04-02 20:58:00,2024-04-02 21:33:00,534,3.4,1.3,Medium,Card,Returning,20,25,35,Late
51,Spice Hub,Delhi,2024-04-07 15:25:00,2024-04-07 16:07:00,165,4.3,1.3,High,Card,Premium,19,24,42,Late
52,Food Palace,Bangalore,2024-04-12 12:39:00,2024-04-12 13:32:00,380,4.1,4.5,High,Wallet,Premium,19,37,53,Late
53,Spice Hub,Delhi,2024-04-07 22:37:00,2024-04-07 23:58:00,326,3.6,11.0,High,Card,New,20,64,81,Late
54,Urban Food,Mumbai,2024-04-03 20:05:00,2024-04-03 20:52:00,519,4.6,5.5,Medium,Wallet,Premium,20,42,47,Late
55,Food Palace,Delhi,2024-04-03 10:02:00,2024-04-03 10:45:00,535,3.3,3.5,Low,UPI,New,25,39,43,Late
56,Spice Hub,Bangalore,2024-04-10 13:45:00,2024-04-10 14:40:00,304,3.5,4.2,High,Wallet,Premium,22,38,55,Late
57,Food Palace,Mumbai,2024-04-13 16:14:00,2024-04-13 17:22:00,385,4.7,11.2,Low,Cash,New,24,68,68,On-time
58,Food Palace,Pune,2024-04-13 17:42:00,2024-04-13 18:51:00,413,4.8,8.0,High,Wallet,New,20,52,69,Late
59,Royal Kitchen,Hyderabad,2024-04-08 12:47:00,2024-04-08 13:57:00,484,3.5,9.8,Medium,Wallet,Premium,24,63,70,Late
60,Food Palace,Delhi,2024-04-04 14:28:00,2024-04-04 15:31:00,239,4.2,10.8,Low,Wallet,Premium,19,62,63,Late
61,Tasty Bites,Delhi,2024-04-03 13:24:00,2024-04-03 14:30:00,132,4.8,9.9,High,Cash,New,14,53,66,Late
62,Urban Food,Bangalore,2024-04-08 16:03:00,2024-04-08 16:47:00,563,3.4,4.5,Low,Card,Premium,23,41,44,Late
63,Quick Eats,Pune,2024-04-01 15:19:00,2024-04-01 16:05:00,482,4.0,3.5,Medium,Wallet,Returning,23,37,46,Late
64,Royal Kitchen,Hyderabad,2024-04-04 14:27:00,2024-04-04 15:25:00,272,4.7,10.0,Medium,UPI,Returning,10,50,58,Late
65,Royal Kitchen,Bangalore,2024-04-15 12:39:00,2024-04-15 13:09:00,403,4.1,1.1,High,UPI,Returning,10,14,30,Late
66,Quick Eats,Pune,2024-04-07 12:55:00,2024-04-07 13:37:00,233,3.6,5.6,Medium,Cash,Premium,15,37,42,Late
67,Urban Food,Delhi,2024-04-06 15:48:00,2024-04-06 16:23:00,229,3.8,2.3,Medium,UPI,Returning,18,27,35,Late
68,Spice Hub,Bangalore,2024-04-09 10:22:00,2024-04-09 11:24:00,120,3.8,11.4,Low,Cash,Premium,12,57,62,Late
69,Spice Hub,Mumbai,2024-04-10 12:15:00,2024-04-10 13:11:00,158,4.5,6.7,Low,UPI,New,25,51,56,Late
70,Quick Eats,Mumbai,2024-04-05 22:23:00,2024-04-05 22:57:00,593,4.9,5.0,Low,Wallet,Premium,13,33,34,Late
71,Tasty Bites,Pune,2024-04-10 20:58:00,2024-04-10 22:16:00,201,3.7,11.6,Medium,Cash,Returning,22,68,78,Late
72,Spice Hub,Hyderabad,2024-04-12 22:19:00,2024-04-12 23:17:00,500,3.7,6.5,High,UPI,New,13,39,58,Late
73,Spice Hub,Delhi,2024-04-06 11:32:00,2024-04-06 12:18:00,534,3.3,4.1,High,Wallet,Premium,20,36,46,Late
74,Urban Food,Bangalore,2024-04-06 20:57:00,2024-04-06 21:49:00,190,4.1,7.7,Medium,Cash,Returning,14,44,52,Late
75,Royal Kitchen,Hyderabad,2024-04-13 18:49:00,2024-04-13 19:27:00,522,3.7,1.6,Medium,Card,Premium,24,30,38,Late
76,Royal Kitchen,Hyderabad,2024-04-14 13:53:00,2024-04-14 14:58:00,224,3.6,11.0,Low,Card,Returning,18,62,65,Late
77,Urban Food,Hyderabad,2024-04-01 17:54:00,2024-04-01 18:27:00,208,4.1,2.6,Medium,Wallet,Returning,15,25,33,Late
78,Tasty Bites,Delhi,2024-04-15 19:44:00,2024-04-15 20:50:00,585,3.6,11.8,Medium,Card,Returning,10,57,66,Late
79,Food Palace,Pune,2024-04-07 17:35:00,2024-04-07 18:38:00,464,4.6,8.4,Low,UPI,Premium,25,58,63,Late
80,Urban Food,Bangalore,2024-04-05 13:25:00,2024-04-05 14:10:00,439,4.5,3.6,High,Cash,New,17,31,45,Late
81,Quick Eats,Delhi,2024-04-09 15:27:00,2024-04-09 16:22:00,459,4.3,5.0,High,Wallet,Premium,20,40,55,Late
82,Urban Food,Delhi,2024-04-04 11:46:00,2024-04-04 12:38:00,480,4.2,8.0,Low,Card,Returning,20,52,52,On-time
83,Quick Eats,Mumbai,2024-04-12 17:17:00,2024-04-12 17:55:00,526,4.7,2.0,High,UPI,New,19,27,38,Late
84,Food Palace,Delhi,2024-04-03 14:00:00,2024-04-03 14:46:00,123,3.5,4.5,High,UPI,Returning,14,32,46,Late
85,Spice Hub,Hyderabad,2024-04-03 20:55:00,2024-04-03 21:18:00,393,4.3,1.4,Medium,Card,Premium,13,18,23,Late
86,Tasty Bites,Bangalore,2024-04-06 12:03:00,2024-04-06 13:07:00,520,3.2,8.5,Medium,Wallet,Returning,25,59,64,Late
87,Spice Hub,Bangalore,2024-04-10 20:43:00,2024-04-10 21:24:00,515,3.6,6.6,Low,Wallet,New,14,40,41,Late
88,Quick Eats,Delhi,2024-04-02 18:48:00,2024-04-02 19:46:00,294,3.5,8.1,Medium,Cash,New,17,49,58,Late
89,Urban Food,Bangalore,2024-04-07 14:36:00,2024-04-07 15:40:00,591,3.9,8.6,High,Card,Premium,11,45,64,Late
90,Royal Kitchen,Pune,2024-04-04 14:42:00,2024-04-04 15:43:00,188,3.4,11.3,Low,UPI,Premium,15,60,61,Late
91,Quick Eats,Pune,2024-04-07 17:44:00,2024-04-07 18:42:00,116,3.4,4.8,High,UPI,New,25,44,58,Late
92,Food Palace,Delhi,2024-04-14 17:04:00,2024-04-14 18:19:00,503,4.8,11.2,High,Card,Premium,17,61,75,Late
93,Royal Kitchen,Hyderabad,2024-04-02 18:14:00,2024-04-02 18:57:00,523,4.4,3.8,High,UPI,Returning,14,29,43,Late
94,Food Palace,Pune,2024-04-13 14:38:00,2024-04-13 15:54:00,163,4.2,10.0,High,Cash,New,19,59,76,Late
95,Urban Food,Delhi,2024-04-09 18:31:00,2024-04-09 19:19:00,120,3.6,6.8,Medium,Wallet,Returning,12,39,48,Late
96,Urban Food,Delhi,2024-04-02 13:43:00,2024-04-02 14:21:00,520,4.8,2.0,High,Card,New,10,18,38,Late
97,Tasty Bites,Hyderabad,2024-04-08 18:41:00,2024-04-08 19:48:00,399,4.3,10.9,Medium,Cash,New,18,61,67,Late
98,Urban Food,Bangalore,2024-04-06 16:21:00,2024-04-06 16:58:00,268,3.8,4.7,Medium,Cash,Returning,13,31,37,Late
99,Urban Food,Bangalore,2024-04-07 23:48:00,2024-04-08 00:52:00,145,4.8,9.0,High,Card,Premium,11,47,64,Late
100,Tasty Bites,Delhi,2024-04-13 16:55:00,2024-04-13 18:08:00,545,4.6,10.8,High,Card,New,10,53,73,Late
101,Quick Eats,Bangalore,2024-04-04 18:23:00,2024-04-04 19:40:00,326,3.4,8.1,High,Wallet,New,25,57,77,Late
102,Spice Hub,Mumbai,2024-04-03 14:28:00,2024-04-03 15:15:00,114,4.8,2.8,High,Card,Premium,25,36,47,Late
103,Royal Kitchen,Hyderabad,2024-04-03 14:35:00,2024-04-03 15:28:00,215,3.2,7.7,Low,UPI,Premium,23,53,53,On-time
104,Spice Hub,Bangalore,2024-04-14 12:31:00,2024-04-14 13:16:00,461,4.4,2.1,High,Cash,Premium,19,27,45,Late
105,Tasty Bites,Bangalore,2024-04-04 17:35:00,2024-04-04 18:02:00,571,3.5,1.1,Low,Wallet,Returning,22,26,27,Late
106,Quick Eats,Hyderabad,2024-04-05 22:50:00,2024-04-05 23:47:00,236,4.4,7.0,Medium,UPI,New,20,48,57,Late
107,Spice Hub,Delhi,2024-04-10 20:31:00,2024-04-10 21:31:00,347,3.6,8.2,Low,Card,Premium,24,56,60,Late
108,Tasty Bites,Delhi,2024-04-15 15:55:00,2024-04-15 16:51:00,296,3.6,8.8,Low,Wallet,Returning,17,52,56,Late
109,Food Palace,Bangalore,2024-04-12 17:45:00,2024-04-12 18:35:00,505,4.5,4.6,Medium,Cash,Returning,22,40,50,Late
110,Royal Kitchen,Mumbai,2024-04-03 18:37:00,2024-04-03 19:30:00,151,4.7,8.1,Medium,Wallet,New,13,45,53,Late
111,Quick Eats,Bangalore,2024-04-03 16:55:00,2024-04-03 17:52:00,340,4.2,8.2,High,Cash,Premium,14,46,57,Late
112,Tasty Bites,Delhi,2024-04-02 23:21:00,2024-04-03 00:06:00,420,3.9,2.0,High,Wallet,Premium,22,30,45,Late
113,Royal Kitchen,Bangalore,2024-04-02 13:40:00,2024-04-02 14:27:00,482,3.6,3.9,High,Cash,Premium,19,34,47,Late
114,Spice Hub,Bangalore,2024-04-12 23:06:00,2024-04-13 00:17:00,253,3.9,11.7,Medium,Cash,Premium,15,61,71,Late
115,Spice Hub,Pune,2024-04-05 15:23:00,2024-04-05 16:26:00,371,4.3,10.8,Medium,Card,New,14,57,63,Late
116,Urban Food,Hyderabad,2024-04-03 11:39:00,2024-04-03 12:42:00,567,4.1,9.7,Medium,UPI,New,17,55,63,Late
117,Quick Eats,Mumbai,2024-04-11 14:29:00,2024-04-11 15:16:00,561,4.1,7.3,Medium,UPI,Returning,10,39,47,Late
118,Tasty Bites,Hyderabad,2024-04-08 15:37:00,2024-04-08 16:22:00,228,4.5,3.1,Medium,UPI,New,23,35,45,Late
119,Urban Food,Delhi,2024-04-14 17:06:00,2024-04-14 17:48:00,283,3.2,4.1,Low,UPI,Returning,22,38,42,Late
120,Quick Eats,Delhi,2024-04-14 20:25:00,2024-04-14 21:16:00,542,3.5,8.1,Medium,Card,New,10,42,51,Late
121,Royal Kitchen,Pune,2024-04-13 22:14:00,2024-04-13 23:33:00,425,4.9,11.3,High,Wallet,Returning,21,66,79,Late
122,Food Palace,Hyderabad,2024-04-13 21:49:00,2024-04-13 23:07:00,149,3.9,11.1,High,Card,Premium,14,58,78,Late
123,Royal Kitchen,Pune,2024-04-01 19:23:00,2024-04-01 19:52:00,565,4.9,1.2,High,Card,Returning,14,18,29,Late
124,Tasty Bites,Delhi,2024-04-04 12:50:00,2024-04-04 13:51:00,356,4.9,5.7,High,Wallet,New,21,43,61,Late
125,Tasty Bites,Mumbai,2024-04-13 14:47:00,2024-04-13 15:54:00,593,4.7,11.6,Medium,Card,Returning,13,59,67,Late
126,Spice Hub,Mumbai,2024-04-12 20:25:00,2024-04-12 21:13:00,504,3.9,4.2,High,UPI,Premium,21,37,48,Late
127,Urban Food,Pune,2024-04-02 17:23:00,2024-04-02 18:41:00,295,3.8,10.4,High,Card,Premium,18,59,78,Late
128,Royal Kitchen,Delhi,2024-04-04 17:01:00,2024-04-04 17:51:00,213,4.2,2.9,High,Cash,Premium,20,31,50,Late
129,Royal Kitchen,Pune,2024-04-05 20:26:00,2024-04-05 21:25:00,584,4.5,11.3,Low,Wallet,Premium,14,59,59,On-time
130,Spice Hub,Delhi,2024-04-02 13:56:00,2024-04-02 14:55:00,332,3.4,7.3,High,Wallet,New,14,43,59,Late
131,Tasty Bites,Hyderabad,2024-04-12 21:09:00,2024-04-12 22:01:00,415,5.0,7.8,Medium,Wallet,Premium,13,44,52,Late
132,Urban Food,Delhi,2024-04-06 13:28:00,2024-04-06 14:02:00,150,4.1,2.5,Medium,Cash,Premium,17,27,34,Late
133,Royal Kitchen,Delhi,2024-04-07 14:12:00,2024-04-07 15:18:00,439,4.5,10.7,Low,Card,New,24,66,66,On-time
134,Food Palace,Hyderabad,2024-04-13 15:15:00,2024-04-13 16:05:00,524,4.5,8.7,Low,Cash,New,16,50,50,On-time
135,Quick Eats,Mumbai,2024-04-06 22:09:00,2024-04-06 22:53:00,539,3.7,5.0,High,UPI,New,10,30,44,Late
136,Food Palace,Mumbai,2024-04-02 20:55:00,2024-04-02 21:48:00,283,4.7,9.9,Low,Card,New,14,53,53,On-time
137,Food Palace,Hyderabad,2024-04-03 14:03:00,2024-04-03 15:12:00,158,4.8,10.5,Low,Card,New,23,65,69,Late
138,Royal Kitchen,Pune,2024-04-13 15:32:00,2024-04-13 16:28:00,357,4.1,6.6,High,Wallet,Returning,13,39,56,Late
139,Food Palace,Hyderabad,2024-04-13 23:42:00,2024-04-14 00:57:00,429,4.4,9.8,High,Cash,Premium,19,58,75,Late
140,Spice Hub,Pune,2024-04-07 20:06:00,2024-04-07 21:09:00,560,4.6,8.7,Medium,Wallet,Returning,24,58,63,Late
141,Spice Hub,Delhi,2024-04-03 14:39:00,2024-04-03 15:58:00,405,3.8,10.8,High,UPI,New,20,63,79,Late
142,Quick Eats,Delhi,2024-04-10 16:06:00,2024-04-10 16:59:00,433,3.4,5.1,High,Wallet,Premium,13,33,53,Late
143,Quick Eats,Mumbai,2024-04-15 13:26:00,2024-04-15 14:27:00,312,3.3,7.4,Medium,Wallet,Returning,24,53,61,Late
144,Royal Kitchen,Pune,2024-04-06 20:16:00,2024-04-06 21:04:00,572,4.2,6.1,Medium,Card,Returning,14,38,48,Late
145,Urban Food,Pune,2024-04-02 16:06:00,2024-04-02 16:55:00,384,4.3,4.2,High,Cash,New,21,37,49,Late
146,Spice Hub,Hyderabad,2024-04-02 16:22:00,2024-04-02 17:00:00,595,3.3,1.3,High,Card,Premium,23,28,38,Late
147,Tasty Bites,Hyderabad,2024-04-02 19:32:00,2024-04-02 20:31:00,346,3.8,10.0,Low,Card,Returning,14,54,59,Late
148,Food Palace,Pune,2024-04-06 11:48:00,2024-04-06 12:22:00,532,4.1,2.4,Medium,Card,Premium,17,26,34,Late
149,Quick Eats,Hyderabad,2024-04-15 20:53:00,2024-04-15 21:59:00,192,3.6,9.5,High,Cash,Premium,18,56,66,Late
150,Tasty Bites,Delhi,2024-04-01 12:55:00,2024-04-01 13:48:00,172,3.4,7.9,Low,Card,Returning,22,53,53,On-time
151,Royal Kitchen,Pune,2024-04-09 13:24:00,2024-04-09 14:01:00,180,4.2,1.6,Medium,Cash,Premium,24,30,37,Late
152,Tasty Bites,Delhi,2024-04-10 11:56:00,2024-04-10 12:38:00,486,4.3,6.9,Low,Card,Premium,14,41,42,Late
153,Quick Eats,Pune,2024-04-08 20:27:00,2024-04-08 21:35:00,239,5.0,9.0,Medium,Cash,Returning,24,60,68,Late
154,Food Palace,Hyderabad,2024-04-07 11:18:00,2024-04-07 12:27:00,441,3.8,6.7,High,Cash,Returning,25,51,69,Late
155,Tasty Bites,Pune,2024-04-10 10:00:00,2024-04-10 10:58:00,492,3.7,9.7,Low,UPI,Returning,19,57,58,Late
156,Food Palace,Delhi,2024-04-02 10:31:00,2024-04-02 11:29:00,166,3.3,5.8,High,Card,Returning,23,46,58,Late
157,Urban Food,Hyderabad,2024-04-09 23:42:00,2024-04-10 00:07:00,541,4.9,1.3,Medium,UPI,Premium,12,17,25,Late
158,Royal Kitchen,Pune,2024-04-08 11:55:00,2024-04-08 13:07:00,307,4.5,10.2,Medium,Wallet,New,23,63,72,Late
159,Royal Kitchen,Bangalore,2024-04-07 10:20:00,2024-04-07 11:11:00,570,3.5,5.5,Low,Card,New,24,46,51,Late
160,Tasty Bites,Pune,2024-04-04 16:37:00,2024-04-04 17:07:00,545,3.7,2.7,Medium,Wallet,New,12,22,30,Late
161,Tasty Bites,Delhi,2024-04-13 12:04:00,2024-04-13 13:03:00,361,4.5,7.0,High,UPI,Returning,13,41,59,Late
162,Food Palace,Delhi,2024-04-14 20:52:00,2024-04-14 21:42:00,174,3.7,8.3,Low,Card,Premium,17,50,50,On-time
163,Tasty Bites,Mumbai,2024-04-03 22:48:00,2024-04-03 23:58:00,587,4.5,11.5,High,UPI,Premium,12,58,70,Late
164,Royal Kitchen,Bangalore,2024-04-13 19:28:00,2024-04-13 20:36:00,261,4.3,7.1,High,Wallet,Premium,20,48,68,Late
165,Food Palace,Bangalore,2024-04-08 20:19:00,2024-04-08 20:59:00,359,3.6,5.6,Medium,Cash,Returning,11,33,40,Late
166,Spice Hub,Delhi,2024-04-01 10:23:00,2024-04-01 11:04:00,542,4.6,4.9,Medium,Wallet,Returning,12,31,41,Late
167,Spice Hub,Hyderabad,2024-04-10 18:50:00,2024-04-10 19:22:00,565,3.4,1.2,High,Wallet,Returning,11,15,32,Late
168,Quick Eats,Mumbai,2024-04-08 18:09:00,2024-04-08 18:39:00,515,3.3,1.5,Low,Card,Premium,24,30,30,On-time
169,Tasty Bites,Pune,2024-04-04 21:28:00,2024-04-04 22:31:00,290,4.5,10.4,Medium,UPI,New,15,56,63,Late
170,Tasty Bites,Bangalore,2024-04-11 19:03:00,2024-04-11 19:58:00,268,3.4,6.2,High,Wallet,Returning,20,44,55,Late
171,Spice Hub,Hyderabad,2024-04-05 21:54:00,2024-04-05 22:48:00,141,4.1,6.4,High,Wallet,Returning,14,39,54,Late
172,Quick Eats,Mumbai,2024-04-11 21:42:00,2024-04-11 22:16:00,462,4.0,2.9,Medium,Card,Returning,14,25,34,Late
173,Spice Hub,Delhi,2024-04-13 15:52:00,2024-04-13 16:30:00,443,4.3,5.4,Low,Wallet,Premium,12,33,38,Late
174,Urban Food,Hyderabad,2024-04-06 14:11:00,2024-04-06 15:06:00,198,3.3,8.0,Low,Card,New,20,52,55,Late
175,Food Palace,Mumbai,2024-04-05 23:50:00,2024-04-06 00:26:00,272,4.3,5.1,Low,UPI,New,11,31,36,Late
176,Quick Eats,Mumbai,2024-04-03 12:53:00,2024-04-03 13:51:00,122,4.7,6.5,High,Wallet,New,15,41,58,Late
177,Urban Food,Delhi,2024-04-10 14:48:00,2024-04-10 15:57:00,373,3.5,8.2,High,UPI,Returning,24,56,69,Late
178,Food Palace,Delhi,2024-04-06 20:36:00,2024-04-06 21:14:00,498,4.4,1.8,Medium,Wallet,New,24,31,38,Late
179,Urban Food,Hyderabad,2024-04-14 13:51:00,2024-04-14 14:24:00,126,4.3,1.3,High,Wallet,New,14,19,33,Late
180,Royal Kitchen,Bangalore,2024-04-15 11:45:00,2024-04-15 12:57:00,142,4.2,11.3,High,Card,Premium,13,58,72,Late
181,Food Palace,Delhi,2024-04-03 23:27:00,2024-04-04 00:08:00,552,4.4,5.3,Low,Wallet,Premium,17,38,41,Late
182,Tasty Bites,Pune,2024-04-07 18:23:00,2024-04-07 19:09:00,291,4.2,6.0,Low,Wallet,New,22,46,46,On-time
183,Food Palace,Pune,2024-04-14 21:41:00,2024-04-14 22:46:00,119,3.9,11.4,Medium,Card,New,14,59,65,Late
184,Tasty Bites,Bangalore,2024-04-08 17:39:00,2024-04-08 18:37:00,231,4.8,11.6,Low,UPI,Premium,12,58,58,On-time
185,Food Palace,Mumbai,2024-04-13 14:15:00,2024-04-13 14:45:00,222,3.3,3.2,Medium,Wallet,New,13,25,30,Late
186,Urban Food,Hyderabad,2024-04-02 23:57:00,2024-04-03 00:25:00,363,3.2,2.1,Medium,Wallet,New,10,18,28,Late
187,Quick Eats,Mumbai,2024-04-07 10:39:00,2024-04-07 11:13:00,313,4.4,2.0,Medium,UPI,Returning,17,25,34,Late
188,Food Palace,Pune,2024-04-09 18:32:00,2024-04-09 19:05:00,547,3.8,1.8,High,Card,New,10,17,33,Late
189,Urban Food,Pune,2024-04-05 21:01:00,2024-04-05 22:01:00,223,3.2,10.3,Medium,Wallet,Returning,12,53,60,Late
190,Royal Kitchen,Pune,2024-04-01 15:34:00,2024-04-01 16:39:00,337,3.7,10.0,Medium,Card,New,15,55,65,Late
191,Royal Kitchen,Bangalore,2024-04-02 21:49:00,2024-04-02 22:16:00,203,4.5,2.3,Medium,UPI,New,11,20,27,Late
192,Spice Hub,Mumbai,2024-04-15 14:32:00,2024-04-15 15:35:00,118,4.8,7.9,Medium,Cash,Returning,25,56,63,Late
193,Royal Kitchen,Mumbai,2024-04-14 22:03:00,2024-04-14 23:13:00,163,4.6,9.1,High,Card,Returning,20,56,70,Late
194,Tasty Bites,Bangalore,2024-04-08 16:21:00,2024-04-08 17:07:00,354,3.5,4.1,Low,Wallet,Premium,25,41,46,Late
195,Tasty Bites,Hyderabad,2024-04-12 16:05:00,2024-04-12 17:06:00,250,4.7,9.3,Medium,Card,New,15,52,61,Late
196,Tasty Bites,Pune,2024-04-11 14:19:00,2024-04-11 15:35:00,453,3.9,11.9,Medium,Cash,Returning,23,70,76,Late
197,Urban Food,Delhi,2024-04-12 23:58:00,2024-04-13 00:48:00,427,4.6,5.1,Medium,Wallet,New,23,43,50,Late
